date,age
1981-01-01,60
1982-01-01,43
1983-01-01,67
1984-01-01,50
1985-01-01,56
1986-01-01,42
1987-01-01,50
1988-01-01,65
1989-01-01,68
1990-01-01,43
1991-01-01,65
1992-01-01,34
1993-01-01,47
1994-01-01,34
1995-01-01,49
1996-01-01,41
1997-01-01,13
1998-01-01,35
1999-01-01,53
2000-01-01,56
2001-01-01,16
2002-01-01,43
2003-01-01,69
2004-01-01,59
2005-01-01,48
2006-01-01,59
2007-01-01,86
2008-01-01,55
2009-01-01,68
2010-01-01,51
2011-01-01,33
2012-01-01,49
2013-01-01,67
2014-01-01,77
2015-01-01,81
2016-01-01,67
2017-01-01,71
2018-01-01,81
2019-01-01,68
2020-01-01,70
2021-01-01,77
2022-01-01,56
